Date	Rain	AirTemperatureMax	AirTemperatureMin	GlobalSolarRadiation	WindSpeed	ReferenceEvapotranspiration
18-02-1982	0	2.4	-1.2	3.8186	3.4	0.8
19-02-1982	0	1	-2.8	3.9248	3.5	0.8
20-02-1982	0	-0.3	-5.8	5.262	4.3	1
21-02-1982	0	-0.5	-7.6	6.6705	2	0.7
22-02-1982	1.9	-3.1	-9	5.5989	2.2	0.4
23-02-1982	1.7	-1.2	-6.7	5.3881	3.8	0.6
24-02-1982	0	-1	-7.7	6.0001	1.8	0.5
25-02-1982	0.9	2.9	-4.3	6.0883	2.2	0.6
26-02-1982	1.3	3.2	-1.1	4.9015	5.2	0.9
27-02-1982	0	3.2	-1.3	5.1372	4.2	1.2
28-02-1982	0	7	-6.3	9.9236	1.9	0.8
01-03-1982	0	12.1	1.4	9.0961	2.3	1.1
02-03-1982	1.9	7.4	1.6	6.4361	3.7	1.1
03-03-1982	0	11.5	0.8	9.401	4.8	1.8
04-03-1982	0	12	1.5	9.412	3.5	1.6
05-03-1982	0	8.4	4.3	5.4741	5.9	2
06-03-1982	0	6.3	0.8	7.0856	6.9	1.6
07-03-1982	0.2	7.1	0	8.0819	3.2	1.4
08-03-1982	0	7.8	-0.2	8.5487	2.4	1.2
09-03-1982	0	8.3	-1.5	9.7844	3.7	1.3
10-03-1982	0	10.6	-2.5	11.6503	3.4	1.3
11-03-1982	0.2	9.3	4.5	6.6027	7.4	2.6
12-03-1982	0	9.4	0.5	9.6584	4.2	1.9
13-03-1982	0	7.2	2.5	6.6728	3.6	1.7
14-03-1982	0	8	0.3	9.1445	6.2	2
15-03-1982	0	10	-1.9	11.9042	1.9	1.4
16-03-1982	0	11	-2.3	12.7882	4.7	2
17-03-1982	0	13.2	-0.3	13.0884	5.6	2.3
18-03-1982	0.3	9.9	2.8	9.6026	2.5	1.4
19-03-1982	4.3	7	1.2	8.2505	3.2	1.1
20-03-1982	0	9.8	-0.2	11.5087	3.6	1.5
21-03-1982	0.1	7.5	2.6	7.7676	2	1.2
22-03-1982	0	7.3	0.5	9.4032	2.1	1.4
23-03-1982	0	9.5	-0.7	11.5128	2.7	1.7
24-03-1982	0	10.5	-1.3	13.2304	2.7	1.8
25-03-1982	0	12.2	-1.1	14.3363	2.5	2
26-03-1982	0	16.4	0.7	15.8789	2.7	2.3
27-03-1982	0	18.2	2.2	16.2186	2.4	2.3
28-03-1982	0	18	4.1	15.0634	4	2.9
29-03-1982	0	16.8	7.7	12.8396	3.5	2.6
